SN,Site,Treatment,Alive,StartIncludeUTC,EndIncludeUTC,TransectLocation.m,Location,Code,Fielddeath,timeofdeath
SN138,DeAnza,Eelgrass,Dead,7/15/2022 12:15,10/25/2022 23:35:00,2.3,3,D.E.3.1029,No,
SN164,DeAnza,Eelgrass,Alive,7/15/2022 12:15,10/25/2022 23:35:00,7.3,5,D.E.5.1031,No,
SN170,DeAnza,Eelgrass,Dead,7/15/2022 12:15,10/25/2022 23:35:00,1.6,1,D.E.1.1032,No,
SN150,DeAnza,Eelgrass,Dead,7/15/2022 12:15,10/25/2022 23:35:00,1.9,2,D.E.2.1028,Yes,9/23/2022 0:00:00
SN115,DeAnza,Eelgrass,Dead,7/31/2022 12:15,12/22/2022 21:35:00,5,4,D.E.4.1033,No,
SN162,DeAnza,Eelgrass,Alive,10/25/2022 23:33,12/22/2022 21:35:00,1.6,1,D.E.1.1034,No,
SN139,DeAnza,Eelgrass,Alive,10/25/2022 23:33,12/22/2022 21:35,5,4,D.E.4.1033,No,
SN182,DeAnza,Eelgrass,Alive,10/25/2022 23:35:00,12/22/2022 21:51:00,2.3,3,D.E.3.1030,No,
SN155,DeAnza,Eelgrass,Alive,12/22/2022 21:35,1/21/2023 21:25,5,4,D.E.4.1033,No,
SN175,DeAnza,Eelgrass,Alive,12/22/2022 21:53,1/21/2023 21:25:00,2.3,3,D.E.3.1036,No,
SN211,DeAnza,Eelgrass,Dead,12/22/2022 21:51,1/21/2023 21:41,1.6,1,D.E.1.1035,No,
SN175,DeAnza,Eelgrass,Dead,1/21/2023 21:41,2/18/2023 21:01:00,1.6,1,D.E.1.1035,No,
SN223,DeAnza,Eelgrass,Alive,1/21/2023 21:25,4/22/2023 12:17:00,5,4,D.E.4.1033,No,
SN215,DeAnza,Eelgrass,Alive,2/18/2023 21:27,4/22/2023 12:17:00,1.6,1,D.E.3.1036,No,
SN157,DeAnza,Eelgrass,Alive,2/18/2023 21:27,4/22/2023 12:17,1.9,2,D.E.3.1030,No,
SN195,DeAnza,Eelgrass,Alive,4/22/2023 12:17,5/20/2023 13:08:00,1.9,2,D.E.3.1030,No,
SN241,DeAnza,Eelgrass,Alive,5/20/2023 13:12,6/19/2023 12:18:00,2.1,2,D.E.4.1033,No,
SN243,DeAnza,Eelgrass,Alive,5/20/2023 13:08,6/19/2023 12:18:00,1.9,2,D.E.3.1030,No,
SN153,DeAnza,Mud,Dead,7/15/2022 13:00,10/25/2022 22:35:00,2.5,3,D.M.3.1045,No,
SN158,DeAnza,Mud,Dead,10/25/2022 22:34,10/25/2022 22:35:00,2.5,3,D.M.3.1046,No,
SN142,DeAnza,Mud,Alive,7/15/2022 13:00,10/25/2022 22:47:00,1.6,1,D.M.1.1050,Yes,10/25/2022 22:47:00
SN112,DeAnza,Mud,Dead,7/31/2022 13:00,10/25/2022 22:47:00,2.4,2,D.M.2.1052,No,
SN181,DeAnza,Mud,Alive,8/13/2022 13:27,10/25/2022 22:47:00,4.3,4,D.M.4.1049,Yes,8/29/2022 8:10:00
SN171,DeAnza,Mud,Dead,7/15/2022 13:00,12/22/2022 22:54:00,5.3,5,D.M.5.1047,No,
SN163,DeAnza,Mud,Alive,10/25/2022 22:47,12/22/2022 22:54:00,1.6,1,D.M.1.1051,Yes,12/22/2022 22:54:00
SN186,DeAnza,Mud,Dead,10/25/2022 22:48,12/22/2022 23:05,2.4,2,D.M.2.1053,No,
SN163,DeAnza,Mud,Dead,12/22/2022 23:05,1/21/2023 22:30:00,2.4,2,D.M.2.1053,Yes,11/24/2022 0:00:00
SN106,DeAnza,Mud,Dead,10/25/2022 22:49,1/21/2023 22:50:00,4.7,6,D.M.6.1054,No,
SN228,DeAnza,Mud,Alive,1/21/2023 22:30,2/18/2023 22:48,4.7,6,D.M.6.1056,No,
SN161,DeAnza,Mud,Alive,1/21/2023 22:30,5/20/2023 12:05:00,2.4,2,D.M.2.1047,No,
SN128,DeAnza,Mud,Alive,4/22/2923 13:19,5/20/2023 12:11:00,4.7,6,D.M.6.1056,No,
SN189,DeAnza,Mud,Dead,2/18/2023 23:03,5/20/2023 12:16:00,1.8,1,D.M.1.1091,Yes,5/2/2023 20:00:00
SN210,DeAnza,Mud,Alive,12/22/2022 23:10,6/19/2023 12:14:00,5.3,5,D.M.5.1055,No,
SN124,DeAnza,Mud,Alive,5/20/2023 12:11:00,6/19/2023 12:14:00,4.7,6,D.M.6.1056,No,
SN242,DeAnza,Mud,Alive,5/20/2023 12:16,6/19/2023 12:14:00,1.8,1,D.M.1.1102,No,
SN129,DeAnza,Mud,Alive,2/18/2023 22:48,4/22/2923 13:19,4.7,6,D.M.6.1056,No,
SN194,DeAnza,Mud,Dead,7/15/2022 13:00,8/13/202213:27:00,4.3,4,D.M.4.1048,No,
SN125,DeAnza,Oyster,Dead,7/15/2022 12:32,8/13/2022 12:40:00,4.1,1,D.O.1.1041,Yes,8/13/2022 12:40:00
SN143,DeAnza,Oyster,Dead,7/15/2022 12:32,8/13/2022 12:46,4.5,2,D.O.2.1037,No,
SN145,DeAnza,Oyster,Alive,7/15/2022 12:32,8/13/2022 12:55:00,7.9,4,D.O.4.1039,No,
SN127,DeAnza,Oyster,Alive,8/13/2022 12:55,10/25/2022 22:35:00,7.9,4,D.O.4.1040,No,
SN191,DeAnza,Oyster,Dead,7/15/2022 12:32,12/22/2022 22:38:00,8.7,5,D.O.5.1038,No,
SN110,DeAnza,Oyster,Alive,10/25/2022 22:35:00,12/22/2022 22:38:00,8.7,5,D.O.5.1038,Yes,10/29/2022 20:40:00
SN190,DeAnza,Oyster,Alive,10/25/2022 22:35:00,12/22/2022 22:38:00,7.9,4,D.O.4.1040,No,
SN199,DeAnza,Oyster,Alive,7/31/2022 12:30,1/21/2023 21:55:00,6,3,D.O.3.1043,No,
SN189,DeAnza,Oyster,Alive,12/22/2022 22:31,1/21/2023 21:55:00,6,3,D.O.3.1043,No,
SN146,DeAnza,Oyster,Alive,12/22/2022 22:38:00,1/22/2023 2:00:00,7.9,4,D.O.4.1040,No,
SN225,DeAnza,Oyster,Dead,1/22/2023 2:00:00,2/18/2023 21:44:00,7.9,4,D.O.4.1040,No,
SN195,DeAnza,Oyster,Alive,8/13/2022 12:46,4/21/2023 13:40:00,4.5,2,D.O.2.1037,No,
SN151,DeAnza,Oyster,Dead,8/13/2022 12:40,4/21/2023 13:40:00,4.1,1,D.O.1.1042,Yes,4/21/2023 13:40:00
SN221,DeAnza,Oyster,Dead,1/21/2023 22:27,4/21/2023 13:40:00,6,3,D.O.3.1044,Yes,4/1/2023 0:00:00
