Date,SN,Length_mm,Width_mm,Notes,Alive,Code,Site,Treatment
2022-10-23,195,31,25,Pre-deployment,Alive,D.O.2.1037,DeAnza,Oyster
2022-10-23,163,28,18,Pre-deployment,Alive,D.M.1.1051,DeAnza,Mud
2022-10-23,124,25,22,Pre-deployment,Alive,W.E.6.1005,Westcliff,Eelgrass
2022-10-23,199,20,16,Pre-deployment,Alive,D.O.3.1043,DeAnza,Oyster
2022-10-23,198,44,28,Pre-deployment,Alive,W.E.5.1009,Westcliff,Eelgrass
2022-10-23,158,30,25,Pre-deployment,Alive,D.M.3.1046,DeAnza,Mud
2022-10-23,151,22,21,Pre-deployment,Alive,D.O.1.1042,DeAnza,Oyster
2022-10-23,117,48,32,Pre-deployment,Alive,W.O.2.1012,Westcliff,Oyster
2022-10-23,106,25,20,Pre-deployment,Alive,D.M.6.1054,DeAnza,Mud
2022-10-23,110,34,27,Pre-deployment,Alive,P.M.3.1069,PCH,Mud
2022-10-23,192,29,23,Pre-deployment,Alive,W.M.3.1022,Westcliff,Mud
2022-10-24,149,22,17,Pre-deployment,Alive,W.O.3.1014,Westcliff,Oyster
2022-10-24,186,25,21,Pre-deployment,Alive,D.M.2.1053,DeAnza,Mud
2022-10-27,132,34,28,Post-deployment,Alive,W.M.4.1023,Westcliff,Mud
2022-10-27,144,25,25,Post-deployment,Alive,P.M.5.1067,PCH,Mud
2022-10-27,176,40,33,Post-deployment,Alive,W.O.5.1016,Westcliff,Oyster
2022-10-27,164,31,26,Post-deployment,Alive,D.E.5.1031,DeAnza,Eelgrass
2022-10-27,153,36,27,Post-deployment,Alive,D.M.3.1045,DeAnza,Mud
2022-10-27,196,37,26,Post-deployment,Alive,W.O.2.1011,Westcliff,Oyster
2022-10-27,187,33,32,Post-deployment,Alive,P.O.2.1060,PCH,Oyster
2022-10-27,111,36,26,Post-deployment,Alive,W.E.6.1004,Westcliff,Eelgrass
2022-10-27,152,41,38,Post-deployment,Alive,W.O.3.1013,Westcliff,Oyster
2022-10-27,133,49,32,Post-deployment,Alive,P.M.1.1071,PCH,Mud
2022-10-27,159,40,22,Post-deployment,Alive,P.M.4.1068,PCH,Mud
2022-10-27,130,35,25,Post-deployment,dead,W.M.3.1021,Westcliff,Mud
2022-10-27,104,33,22,Post-deployment,dead,W.O.4.1015,Westcliff,Oyster
2022-10-27,146,30,24,Post-deployment,dead,P.M.2.1070,PCH,Mud
2022-10-27,143,22,16,Post-deployment,Alive,D.O.2.1037,DeAnza,Oyster
2022-10-27,177,25,19,Post-deployment,dead,W.E.1.1008,Westcliff,Eelgrass
2022-10-27,188,28,19,Post-deployment,dead,W.M.5.1025,Westcliff,Mud
2022-10-27,112,27,30,Post-deployment,dead,D.M.2.1052,DeAnza,Mud
2022-10-27,118,29,19,Post-deployment,dead,P.O.3.1059,PCH,Oyster
