Site,sitecode,Treatment,treatmentcode,StartMaintUTC,EndMaintUTC
Westcliff,W,Oyster,O,10/27/2022 22:59,10/27/2022 23:59
PCH,P,Oyster,O,10/26/2022 22:27:00,10/26/2022 23:27
Westcliff,W,Mud,M,10/26/2022 23:54,10/27/2022 0:54
DeAnza,D,Oyster,O,10/25/2022 22:07,10/25/2022 23:07
DeAnza,D,Mud,M,10/25/2022 22:32,10/25/2022 23:32
DeAnza,D,Eelgrass,E,10/25/2022 23:09,10/26/2022 0:09
Shellmaker,S,Mud,M,10/28/2022 23:29:00,10/29/2022 0:29
Shellmaker,S,Oyster,O,10/28/2022 23:29:00,10/29/2022 0:29
PCH,P,Mud,M,10/28/2022 1:29:00,10/28/2022 2:29
Westcliff,W,Eelgrass,E,10/28/2022 0:00,10/28/2022 1:00
Westcliff,W,Eelgrass,E,12/21/2022 23:23,12/22/2022 0:53
Westcliff,W,Mud,M,12/21/2022 21:25,12/21/2022 22:25
Westcliff,W,Oyster,O,12/21/2022 22:11,12/21/2022 23:11
DeAnza,D,Mud,M,12/22/2022 21:52,12/22/2022 22:52
PCH,P,Eelgrass,E,12/22/2022 22:25,12/22/2022 23:25
Shellmaker,S,Mud,M,12/22/2022 23:00,12/23/2022 0:00
DeAnza,D,Eelgrass,E,12/22/2022 20:33,12/22/2022 21:33
DeAnza,D,Oyster,O,12/22/2022 21:04,12/22/2022 22:04
PCH,P,Eelgrass,E,12/21/2022 20:20,12/21/2022 21:20
PCH,P,Oyster,O,12/21/2022 20:33,12/21/2022 21:33
PCH,P,Mud,M,12/21/2022 21:09,12/21/2022 22:09
Shellmaker,S,Mud,M,1/21/2023 23:50,1/22/2023 0:50
Shellmaker,S,Oyster,O,1/21/2023 23:50,1/22/2023 0:50
DeAnza,D,Eelgrass,E,1/21/2023 21:20,1/21/2023 22:20
DeAnza,D,Oyster,O,1/21/2023 21:50,1/21/2023 22:50
DeAnza,D,Mud,M,1/21/2023 22:25,1/21/2023 23:25
Westcliff,W,Mud,M,1/20/2023 22:30,1/20/2023 23:30
Westcliff,W,Oyster,O,1/20/2023 23:20,1/21/2023 0:20
Westcliff,W,Mud,M,1/21/2023 0:05,1/21/2023 1:05
PCH,P,Eelgrass,E,1/20/2023 19:40,1/20/2023 20:40
PCH,P,Oyster,O,1/20/2023 20:40,1/20/2023 21:40
PCH,P,Mud,M,1/20/2023 21:30,1/20/2023 22:30
Shellmaker,S,Mud,M,2/18/2023 23:30,2/19/2023 0:30
Shellmaker,S,Oyster,O,2/18/2023 23:57,2/19/2023 0:57
DeAnza,D,Eelgrass,E,2/18/2023 21:00,2/18/2023 22:00
DeAnza,D,Oyster,O,2/18/2023 21:40,2/18/2023 22:40
DeAnza,D,Mud,M,2/18/2023 22:40,2/18/2023 23:40
PCH,P,Eelgrass,E,2/20/2023 22:10,2/20/2023 23:10
PCH,P,Oyster,O,2/20/2023 22:40,2/20/2023 23:40
PCH,P,Mud,M,2/20/2023 23:30,2/21/2023 0:30
Westcliff,W,Mud,M,2/21/2023 0:10,2/21/2023 1:10
Westcliff,W,Oyster,O,2/21/2023 1:00,2/21/2023 2:00
Westcliff,W,Eelgrass,E,2/21/2023 1:40,2/21/2023 2:40
Westcliff,W,Eelgrass,E,8/14/2022 12:28,8/14/2022 13:28
Westcliff,W,Oyster,O,8/12/2022 11:57:00,8/12/2022 12:57
Westcliff,W,Mud,M,8/12/2022 13:10:00,8/12/2022 14:10
DeAnza,D,Eelgrass,E,8/13/2022 11:53:00,8/13/2022 12:53
DeAnza,D,Oyster,O,8/13/2022 12:39:00,8/13/2022 13:39
DeAnza,D,Mud,M,8/13/2022 13:10:00,8/13/2022 14:10
PCH,P,Oyster,O,8/14/2022 13:08:00,8/14/2022 14:08
PCH,P,Mud,M,8/14/2022 13:25:00,8/14/2022 14:25
